"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 27,2020","Madrid, Spain","2.5","40","1"
"Apr 27,2020","Dubai","2.94","34","1"
"Apr 27,2020","Sydney Sales","8.89","45","4"
"Apr 27,2020","Melbourne Sales","9.43","53","5"
"Apr 27,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"Apr 27,2020","Hong Kong","12.5","72","9"
"Apr 27,2020","India-Electra, Bldg 4","2.92","1233","36"
"Apr 27,2020","India Elnath Bldg 5","5.49","1896","104"
"Apr 27,2020","India-Mumbai","4.17","24","1"
"Apr 27,2020","Milan","15.79","19","3"
"Apr 27,2020","Seoul, Korea","36.36","44","16"
"Apr 27,2020","Tokyo, Japan (Shinjuku)","3.39","177","6"
"Apr 27,2020","Riyadh","1.1","91","1"
"Apr 27,2020","Amsterdam","1.97","254","5"
"Apr 27,2020","Moscow","2.44","41","1"
"Apr 27,2020","Addlestone","4.94","81","4"
"Apr 27,2020","Taipei","24","25","6"
"Apr 27,2020","Stockholm","5.88","17","1"
"Apr 27,2020","Bridgewater","8.82","34","3"
"Apr 27,2020","Belfast","5.56","18","1"
